localName,nconst,wikidataItem,wikidataLabel,birthDate
Alain Boublil,nm0098842,http://www.wikidata.org/entity/Q284540,Alain Boublil,1941-03-05T00:00:00Z
Amanda Seyfried,nm1086543,http://www.wikidata.org/entity/Q189226,Amanda Seyfried,1985-12-03T00:00:00Z
Anne Hathaway,nm0004266,http://www.wikidata.org/entity/Q36301,Anne Hathaway,1982-11-12T00:00:00Z
Claude-Michel Schönberg,nm0774744,http://www.wikidata.org/entity/Q712004,Claude-Michel Schönberg,1944-07-06T00:00:00Z
Herbert Kretzmer,nm0471014,http://www.wikidata.org/entity/Q5734832,Herbert Kretzmer,1925-10-05T00:00:00Z
Hugh Jackman,nm0413168,http://www.wikidata.org/entity/Q129591,,1968-10-12T00:00:00Z
Russell Crowe,nm0000128,http://www.wikidata.org/entity/Q129817,Russell Crowe,1964-04-07T00:00:00Z
Tom Hooper,nm0393799,http://www.wikidata.org/entity/Q295912,Tom Hooper,1972-10-05T00:00:00Z
Victor Hugo,nm0401076,http://www.wikidata.org/entity/Q535,,1802-02-26T00:00:00Z
William Nicholson,nm0629933,http://www.wikidata.org/entity/Q706935,William Nicholson,1948-01-12T00:00:00Z
